ORDER_LINE_STATUS	ORDER_NUMBER	PLANNING_DATE	REQUESTED_DELIVERY_DATE	DEPARTURE_DATE	CUSTOMER_NUMBER	COUNTRY	CUSTOMERS_ORDER_NO	ORDER_LINE_DELIVERY_METHOD	ORDER_TYPE_CODE	ITEM_NUMBER	NAME	PROCUREMENT_GROUP_CODE	EAN_NUMBER	ORDER_LINE_NUMBER	WAREHOUSE	ORDERED_QUANTITY	NET_PRICE	PRICE	DELIVERY_NO
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.090	Ghost 18	FTW	195394909111	50	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.095	Ghost 18	FTW	195394909128	51	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.100	Ghost 18	FTW	195394909135	52	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.105	Ghost 18	FTW	195394909142	53	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.110	Ghost 18	FTW	195394909159	54	408	10	47,3	473	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.115	Ghost 18	FTW	195394909166	55	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931B172.120	Ghost 18	FTW	195394909173	56	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.075	Ghost 18	FTW	195394868432	57	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.080	Ghost 18	FTW	195394868456	58	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.085	Ghost 18	FTW	195394868470	59	408	1	47,3	47,3	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.090	Ghost 18	FTW	195394868494	60	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.095	Ghost 18	FTW	195394868517	61	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.100	Ghost 18	FTW	195394868531	62	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.105	Ghost 18	FTW	195394868555	63	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.110	Ghost 18	FTW	195394868579	64	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.115	Ghost 18	FTW	195394868593	65	408	4	47,3	189,2	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.120	Ghost 18	FTW	195394868616	66	408	3	47,3	141,9	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.125	Ghost 18	FTW	195394868630	67	408	2	47,3	94,6	34586334
22	1023643834	4/28/2026	5/15/2026	5/12/2026	64920	PL	F26 FTW MAY	105	E11	1104931D020.130	Ghost 18	FTW	195394868654	68	408	2	47,3	94,6	34586334
